DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 29-Nov-2016,47.000000,1,,,,,24,,100,100,100,100,20,0,3,3,3,3,3,3,3,3,10,3,0,0,3,3,60,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 30-Nov-2016,48.000000,1,,,,,24,,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,30,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 03-Dec-2016,52.000000,1,,,,,24,,3,3,0,0,3,3,3,0,3,0,3,3,30,10,0,0,3,3,3,0,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 04-Dec-2016,53.000000,1,,,,,24,,3,3,3,3,0,0,0,0,0,0,3,0,3,3,0,3,3,0,0,3,0,20,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 08-Dec-2016,57.000000,1,,,,,24,,3,3,0,0,0,0,0,0,3,3,3,3,3,0,0,0,3,0,0,0,3,3,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 10-Dec-2016,59.000000,2,,,,,24,,100,100,80,98,10,0,0,0,3,3,0,3,0,0,30,80,0,0,0,3,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 11-Dec-2016,60.000000,2,,,,,24,,3,10,0,3,20,3,0,0,0,3,0,0,0,0,0,3,3,3,3,3,3,80,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 13-Dec-2016,62.000000,1,,,,,24,,0,0,0,3,3,0,0,0,3,3,3,3,3,3,3,3,0,3,0,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 15-Dec-2016,64.000000,1,,,,,24,,0,3,0,0,3,0,0,3,3,30,80,40,20,3,3,0,0,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 17-Dec-2016,67.000000,1,,,,,24,,100,100,100,98,50,0,0,0,0,3,3,3,10,80,0,0,0,3,0,3,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 18-Dec-2016,68.000000,1,,,,,24,,0,0,0,0,0,0,3,3,90,100,100,100,100,100,98,98,98,40,0,3,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 19-Dec-2016,69.000000,1,,,,,24,,0,0,3,3,3,0,0,0,0,0,0,3,3,40,60,90,98,0,0,3,3,3,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 20-Dec-2016,70.000000,1,,,,,24,,100,100,100,100,60,0,0,0,0,0,0,0,3,3,0,0,0,0,40,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 22-Dec-2016,72.000000,1,,,,,24,,100,80,30,3,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,20,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 23-Dec-2016,73.000000,1,,,,,24,,80,3,0,3,3,0,0,0,3,3,100,10,3,3,0,0,0,0,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 24-Dec-2016,74.000000,2,,,,,24,,3,3,3,3,3,0,0,0,3,3,3,0,3,0,0,3,0,0,0,40,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 25-Dec-2016,75.000000,2,,,,,24,,20,3,3,3,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 26-Dec-2016,76.000000,1,,,,,24,,3,0,3,10,0,0,0,3,0,0,3,60,90,100,100,90,0,0,0,3,3,10,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 27-Dec-2016,77.000000,1,,,,,24,,100,100,100,10,0,3,0,0,3,3,80,100,100,100,100,60,0,3,3,0,0,3,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 28-Dec-2016,78.000000,1,,,,,24,,100,40,3,3,0,0,0,3,10,3,70,70,0,0,3,3,0,0,10,70,100,100,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 29-Dec-2016,79.000000,2,,,,,24,,98,98,98,98,80,0,3,3,3,3,98,98,100,60,3,3,3,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 30-Dec-2016,80.000000,1,,,,,24,,3,0,0,3,3,0,0,20,100,100,100,60,40,98,98,98,3,3,0,0,3,80,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 01-Jan-2017,83.000000,2,,,,,24,,0,3,3,0,3,0,0,3,90,100,100,100,100,98,60,20,3,0,3,3,0,3,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 02-Jan-2017,84.000000,2,,,,,24,,100,100,100,100,60,0,0,0,3,40,100,100,100,98,70,3,0,0,3,10,30,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 03-Jan-2017,85.000000,2,,,,,24,,100,100,100,100,100,100,100,100,100,100,100,100,100,90,3,3,0,0,0,3,3,3,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 08-Jan-2017,90.000000,2,,,,,24,,0,3,3,3,3,0,0,0,0,20,98,98,40,80,80,0,3,3,0,3,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 09-Jan-2017,91.000000,3,,,,,24,,20,30,70,3,3,0,0,3,70,100,100,100,100,100,100,100,100,50,3,0,3,3,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 10-Jan-2017,92.000000,3,,,,,24,,100,100,100,100,100,100,100,100,100,60,3,3,3,3,0,0,3,0,0,3,3,3,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3033_14U0350,143949,0.500000,Transmission,UT,Percent,00:00:00 11-Jan-2017,93.000000,1,,,,,24,,100,100,80,3,3,3,0,30,100,100,80,3,3,0,3,3,3,0,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
